current_player,is_current_player_hand_winner,is_current_player_game_winner,current_player_score,opponent_score,current_player_deadwood,current_player_num_hit_cards,num_melds,point_sum_melds,num_combos,point_sum_combos,num_knock_cache,point_sum_knock_cache,num_load_cards,point_sum_load_cards,turns_taken
1.0,0,0,10.0,2.0,38.0,7.0,1.0,18.0,3.0,24.0,3.0,4.0,2.0,9.0,1.0
0.0,1,1,10.0,2.0,31.0,6.0,1.0,3.0,3.0,19.0,4.0,5.0,1.0,5.0,2.0
1.0,0,0,10.0,2.0,36.0,5.0,1.0,18.0,2.0,5.0,3.0,4.0,4.0,26.0,2.0
0.0,1,1,10.0,2.0,27.0,5.0,1.0,3.0,3.0,11.0,4.0,5.0,2.0,12.0,3.0
1.0,0,0,10.0,2.0,35.0,5.0,1.0,18.0,2.0,5.0,3.0,4.0,4.0,24.0,3.0
0.0,1,1,10.0,2.0,27.0,5.0,1.0,3.0,3.0,11.0,4.0,5.0,2.0,12.0,4.0
1.0,0,0,10.0,2.0,35.0,5.0,1.0,18.0,2.0,5.0,3.0,4.0,4.0,24.0,4.0
0.0,1,1,10.0,2.0,27.0,5.0,1.0,3.0,3.0,11.0,4.0,5.0,2.0,12.0,5.0
1.0,0,0,10.0,2.0,35.0,5.0,1.0,18.0,2.0,5.0,3.0,4.0,4.0,24.0,5.0
0.0,1,1,10.0,2.0,11.0,4.0,2.0,12.0,1.0,0.0,3.0,2.0,1.0,5.0,6.0
1.0,0,0,10.0,2.0,35.0,4.0,1.0,18.0,2.0,5.0,3.0,4.0,4.0,24.0,6.0
0.0,1,1,10.0,2.0,11.0,4.0,2.0,12.0,1.0,0.0,3.0,2.0,1.0,5.0,7.0
0.0,1,1,10.0,2.0,3.0,6.0,3.0,15.0,0.0,0.0,1.0,2.0,0.0,0.0,8.0
1.0,0,0,33.0,2.0,39.0,5.0,1.0,0.0,2.0,14.0,3.0,7.0,2.0,15.0,0.0
0.0,1,1,33.0,2.0,61.0,8.0,0.0,0.0,4.0,52.0,3.0,4.0,0.0,0.0,0.0
1.0,0,0,33.0,2.0,34.0,10.0,1.0,0.0,4.0,25.0,3.0,7.0,1.0,7.0,1.0
0.0,1,1,33.0,2.0,61.0,8.0,0.0,0.0,4.0,52.0,3.0,4.0,0.0,0.0,1.0
1.0,0,0,33.0,2.0,34.0,10.0,1.0,0.0,4.0,25.0,3.0,7.0,1.0,7.0,2.0
0.0,1,1,33.0,2.0,57.0,8.0,0.0,0.0,4.0,42.0,3.0,4.0,1.0,10.0,2.0
