current_player,is_current_player_hand_winner,is_current_player_game_winner,current_player_score,opponent_score,current_player_deadwood,current_player_num_hit_cards,num_melds,point_sum_melds,num_combos,point_sum_combos,num_knock_cache,point_sum_knock_cache,num_load_cards,point_sum_load_cards,turns_taken,num_nearby_opponent_cards,sum_of_adj_card_probs
1.0,1,1,0.0,0.0,47.0,6.0,1.0,15.0,2.0,35.0,2.0,5.0,2.0,9.0,7.0,60.0,1.1181374589601718
0.0,0,0,0.0,0.0,30.0,4.0,1.0,21.0,1.0,13.0,4.0,6.0,1.0,4.0,8.0,57.0,1.1411552494094623
1.0,1,1,0.0,0.0,18.0,4.0,2.0,42.0,0.0,0.0,2.0,5.0,2.0,9.0,9.0,60.0,0.8558664370570968
0.0,0,0,0.0,0.0,26.0,6.0,1.0,21.0,2.0,13.0,4.0,3.0,1.0,3.0,10.0,56.0,1.7486416986107052
1.0,1,1,0.0,0.0,3.0,6.0,3.0,54.0,0.0,0.0,1.0,2.0,0.0,0.0,11.0,60.0,0.8743208493053527
0.0,0,0,0.0,0.0,71.0,6.0,0.0,0.0,3.0,44.0,3.0,7.0,3.0,18.0,1.0,58.0,1.321603451866109
1.0,1,1,0.0,0.0,23.0,8.0,1.0,24.0,3.0,9.0,5.0,5.0,1.0,7.0,2.0,58.0,0.8072398143334834
0.0,0,0,0.0,0.0,72.0,7.0,0.0,0.0,4.0,64.0,3.0,7.0,2.0,10.0,3.0,58.0,1.3453996905558054
1.0,1,1,0.0,0.0,6.0,8.0,2.0,36.0,2.0,2.0,4.0,2.0,0.0,0.0,4.0,58.0,0.5482836792148854
1.0,0,0,0.0,0.0,47.0,6.0,1.0,18.0,3.0,48.0,2.0,4.0,1.0,5.0,1.0,58.0,1.0572827614928872
0.0,1,1,0.0,0.0,27.0,11.0,1.0,27.0,4.0,23.0,3.0,4.0,0.0,0.0,2.0,60.0,1.0763197524446444
1.0,0,0,0.0,0.0,17.0,4.0,2.0,48.0,1.0,8.0,2.0,4.0,1.0,5.0,3.0,58.0,1.3453996905558054
0.0,1,1,0.0,0.0,24.0,10.0,1.0,37.0,3.0,18.0,3.0,5.0,0.0,0.0,4.0,59.0,1.0965673584297708
1.0,0,0,0.0,0.0,14.0,4.0,2.0,48.0,1.0,8.0,3.0,6.0,0.0,0.0,5.0,57.0,1.0965673584297708
0.0,1,1,0.0,0.0,8.0,5.0,2.0,52.0,1.0,2.0,3.0,5.0,0.0,0.0,6.0,59.0,0.8386030942201288
0.0,1,1,0.0,0.0,47.0,7.0,1.0,0.0,3.0,29.0,2.0,5.0,2.0,15.0,1.0,57.0,1.0572827614928872
1.0,0,0,0.0,0.0,35.0,5.0,1.0,3.0,2.0,18.0,3.0,4.0,2.0,10.0,2.0,57.0,1.321603451866109
0.0,1,1,0.0,0.0,39.0,7.0,1.0,0.0,3.0,29.0,3.0,6.0,1.0,5.0,3.0,57.0,1.0763197524446444
1.0,0,0,0.0,0.0,33.0,5.0,1.0,3.0,2.0,15.0,3.0,4.0,2.0,11.0,4.0,57.0,1.3453996905558054
0.0,1,1,0.0,0.0,39.0,7.0,1.0,0.0,3.0,29.0,3.0,6.0,1.0,5.0,5.0,57.0,0.8224255188223282
1.0,0,0,0.0,0.0,33.0,5.0,1.0,3.0,2.0,15.0,3.0,4.0,2.0,11.0,6.0,57.0,1.3707091980372135
0.0,1,1,0.0,0.0,38.0,7.0,1.0,0.0,3.0,29.0,3.0,6.0,1.0,4.0,7.0,57.0,1.3976718237002148
1.0,0,0,0.0,0.0,31.0,9.0,1.0,3.0,4.0,34.0,3.0,4.0,0.0,0.0,8.0,57.0,1.3976718237002148
0.0,1,1,0.0,0.0,38.0,7.0,1.0,0.0,3.0,29.0,3.0,6.0,1.0,4.0,9.0,57.0,1.1411552494094623
