current_player_score,opponent_score,current_player_deadwood,current_player_num_options,is_current_player_hand_winner,is_current_player_game_winner
42,24,74,6,0.0,1
42,60,53,4,1.0,1
62,60,33,5,1.0,1
82,60,29,3,1.0,1
95,60,73,11,1.0,1
0,0,44,5,1.0,0
10,0,53,9,0.0,0
10,3,70,2,0.0,0
10,11,61,4,0.0,0
10,19,38,3,0.0,0
10,43,67,7,1.0,0
24,43,66,8,0.0,0
24,76,46,7,1.0,0
27,76,61,7,0.0,0
27,85,64,2,0.0,0
27,95,69,9,1.0,0
43,95,28,3,0.0,0
0,0,61,5,0.0,0
0,20,34,9,1.0,0
3,20,65,9,0.0,0
3,29,64,7,1.0,0
27,29,71,8,0.0,0
27,39,69,3,0.0,0
27,71,78,7,1.0,0
43,71,53,9,0.0,0
43,84,75,11,1.0,0
54,84,61,7,1.0,0
67,84,48,8,0.0,0
67,96,22,1,1.0,0
92,96,71,5,0.0,0
0,0,41,4,1.0,0
8,0,61,9,0.0,0
8,26,41,6,0.0,0
8,32,59,5,0.0,0
8,43,63,10,0.0,0
8,47,61,5,0.0,0
8,68,46,0,0.0,0
0,0,57,6,0.0,0
0,15,72,7,1.0,0
5,15,81,5,0.0,0
5,26,54,8,0.0,0
5,53,49,5,1.0,0
12,53,63,6,0.0,0
12,80,57,11,0.0,0
0,0,40,3,0.0,0
0,2,41,0,1.0,0
30,2,72,5,0.0,0
30,6,59,6,0.0,0
30,56,68,6,0.0,0
30,84,74,9,0.0,0
30,99,40,3,1.0,0
31,99,30,2,1.0,0
60,99,67,8,0.0,0
0,0,58,2,0.0,1
0,33,56,6,0.0,1
0,42,57,6,0.0,1
0,46,67,8,0.0,1
0,51,17,0,1.0,1
21,51,58,6,1.0,1
63,51,52,8,1.0,1
88,51,40,5,1.0,1
0,0,78,8,0.0,1
0,40,44,3,1.0,1
9,40,63,5,0.0,1
9,63,71,10,1.0,1
16,63,62,6,1.0,1
18,63,30,4,1.0,1
28,63,75,6,1.0,1
33,63,58,8,0.0,1
33,70,49,8,1.0,1
79,70,70,9,1.0,1
97,70,65,9,1.0,1
0,0,75,10,0.0,0
0,3,78,4,1.0,0
26,3,56,4,0.0,0
26,31,62,8,0.0,0
26,39,52,3,1.0,0
65,39,50,9,0.0,0
65,67,58,9,0.0,0
65,78,85,9,0.0,0
65,83,64,3,0.0,0
65,95,69,10,0.0,0
0,0,47,4,1.0,0
17,0,47,3,1.0,0
27,0,33,8,1.0,0
53,0,72,5,0.0,0
53,8,62,8,0.0,0
53,81,53,8,1.0,0
63,81,57,6,0.0,0
63,86,65,6,0.0,0
0,0,67,1,0.0,1
0,1,58,7,0.0,1
0,23,49,3,0.0,1
0,37,38,5,1.0,1
7,37,46,2,1.0,1
39,37,40,2,1.0,1
51,37,64,7,0.0,1
51,47,74,6,1.0,1
71,47,67,6,0.0,1
71,64,42,6,0.0,1
71,97,36,4,1.0,1
0,0,49,8,0.0,0
0,9,47,2,1.0,0
30,9,49,4,1.0,0
52,9,80,12,0.0,0
52,13,67,4,0.0,0
52,20,48,6,0.0,0
52,31,44,3,0.0,0
52,48,60,7,0.0,0
52,51,67,4,0.0,0
52,60,72,10,0.0,0
52,76,63,8,0.0,0
52,92,48,5,0.0,0
0,0,75,5,0.0,1
0,11,60,4,1.0,1
15,11,76,7,1.0,1
26,11,54,3,1.0,1
31,11,79,7,1.0,1
47,11,64,8,0.0,1
47,57,61,6,1.0,1
61,57,62,8,0.0,1
61,84,80,12,0.0,1
61,95,39,5,1.0,1
0,0,47,5,1.0,0
22,0,47,4,1.0,0
50,0,47,2,0.0,0
50,22,76,3,0.0,0
50,85,70,7,0.0,0
0,0,42,5,1.0,1
16,0,53,8,0.0,1
16,4,63,5,1.0,1
26,4,65,5,0.0,1
26,9,44,7,1.0,1
44,9,43,4,0.0,1
44,13,49,4,1.0,1
51,13,48,0,0.0,1
51,34,39,4,1.0,1
59,34,54,6,1.0,1
76,34,31,3,1.0,1
88,34,46,7,1.0,1
0,0,77,5,1.0,1
8,0,60,12,1.0,1
9,0,48,2,1.0,1
19,0,55,3,0.0,1
19,29,70,8,0.0,1
19,52,71,7,1.0,1
21,52,57,3,1.0,1
27,52,67,6,1.0,1
44,52,45,1,1.0,1
79,52,44,3,0.0,1
79,80,51,9,1.0,1
0,0,65,8,1.0,0
7,0,66,8,1.0,0
32,0,55,5,0.0,0
32,20,85,9,0.0,0
32,41,78,5,0.0,0
32,48,63,6,0.0,0
32,71,64,13,1.0,0
36,71,62,6,1.0,0
39,71,51,5,0.0,0
39,94,75,6,0.0,0
0,0,64,6,0.0,0
0,6,62,10,0.0,0
0,13,66,7,0.0,0
0,18,39,5,0.0,0
0,25,70,8,0.0,0
0,29,44,5,0.0,0
0,35,58,6,0.0,0
0,57,52,5,1.0,0
13,57,78,7,1.0,0
33,57,75,8,0.0,0
33,61,32,5,1.0,0
39,61,62,4,0.0,0
39,92,58,10,1.0,0
51,92,39,6,0.0,0
0,0,75,8,0.0,0
0,28,54,8,0.0,0
0,32,40,0,0.0,0
0,38,46,10,0.0,0
0,50,56,5,1.0,0
2,50,40,8,0.0,0
2,74,74,6,0.0,0
2,81,72,3,1.0,0
5,81,54,6,0.0,0
0,0,79,13,1.0,0
27,0,60,3,1.0,0
39,0,42,1,1.0,0
49,0,60,6,0.0,0
49,24,79,7,0.0,0
49,89,44,5,1.0,0
75,89,71,9,1.0,0
95,89,65,7,0.0,0
95,94,58,3,0.0,0
0,0,70,8,0.0,1
0,17,45,6,0.0,1
0,18,62,4,0.0,1
0,53,43,6,1.0,1
42,53,50,10,1.0,1
57,53,79,9,1.0,1
71,53,49,4,0.0,1
71,61,50,4,1.0,1
0,0,62,4,1.0,1
10,0,65,9,1.0,1
15,0,39,1,1.0,1
53,0,47,0,1.0,1
65,0,50,4,0.0,1
65,6,70,8,1.0,1
77,6,55,5,1.0,1
0,0,27,4,0.0,1
0,3,57,8,0.0,1
0,14,59,5,0.0,1
0,21,55,2,0.0,1
0,28,53,0,1.0,1
15,28,52,6,0.0,1
15,34,61,7,1.0,1
33,34,47,1,1.0,1
51,34,64,6,1.0,1
64,34,64,8,0.0,1
64,57,39,4,1.0,1
90,57,41,2,0.0,1
90,64,54,11,1.0,1
0,0,65,8,0.0,0
0,4,67,6,0.0,0
0,7,61,9,1.0,0
9,7,73,7,0.0,0
9,39,62,3,0.0,0
9,61,71,7,1.0,0
17,61,65,4,1.0,0
19,61,60,5,1.0,0
43,61,49,0,0.0,0
43,74,50,5,0.0,0
43,79,57,6,0.0,0
0,0,80,9,0.0,0
0,27,65,7,0.0,0
0,32,74,3,0.0,0
0,56,63,8,0.0,0
0,70,63,8,0.0,0
0,87,61,6,0.0,0
0,88,53,6,0.0,0
0,0,62,6,0.0,0
0,30,46,3,1.0,0
12,30,58,5,0.0,0
12,51,61,6,0.0,0
12,58,25,2,1.0,0
30,58,77,7,0.0,0
30,59,56,4,1.0,0
44,59,78,9,0.0,0
44,74,64,6,1.0,0
54,74,76,5,0.0,0
54,77,41,2,0.0,0
54,88,57,6,0.0,0
0,0,54,9,0.0,1
0,6,47,7,1.0,1
4,6,52,4,1.0,1
16,6,65,5,0.0,1
16,12,44,4,0.0,1
16,25,59,4,1.0,1
17,25,51,2,1.0,1
28,25,54,8,1.0,1
41,25,67,10,0.0,1
41,53,26,7,0.0,1
41,64,68,7,0.0,1
41,73,66,7,0.0,1
41,83,58,9,0.0,1
41,90,55,4,1.0,1
84,90,49,4,1.0,1
0,0,63,5,0.0,0
0,4,74,8,1.0,0
3,4,57,6,0.0,0
3,46,36,0,1.0,0
35,46,67,9,1.0,0
50,46,57,10,0.0,0
50,61,29,5,0.0,0
50,69,48,3,1.0,0
53,69,76,11,1.0,0
55,69,56,6,0.0,0
55,91,42,6,1.0,0
86,91,51,8,0.0,0
0,0,46,2,0.0,1
0,15,51,9,0.0,1
0,20,48,3,0.0,1
0,45,44,2,1.0,1
8,45,61,9,1.0,1
12,45,52,4,1.0,1
31,45,47,3,1.0,1
49,45,65,10,0.0,1
49,56,72,10,1.0,1
58,56,45,3,1.0,1
95,56,50,2,0.0,1
95,59,44,12,1.0,1
0,0,85,9,0.0,0
0,29,59,6,1.0,0
16,29,81,8,0.0,0
16,33,62,4,0.0,0
16,45,49,5,1.0,0
20,45,54,3,0.0,0
20,75,66,5,0.0,0
20,84,83,9,1.0,0
35,84,61,6,0.0,0
0,0,42,1,1.0,1
38,0,46,4,1.0,1
97,0,80,7,1.0,1
0,0,56,8,1.0,0
16,0,66,11,0.0,0
16,8,45,2,0.0,0
16,20,84,8,0.0,0
16,29,51,4,0.0,0
16,46,68,10,1.0,0
23,46,44,1,0.0,0
23,71,67,8,0.0,0
23,88,58,11,1.0,0
30,88,64,7,0.0,0
30,97,53,2,0.0,0
0,0,78,6,1.0,1
30,0,75,6,1.0,1
43,0,67,7,1.0,1
49,0,59,8,0.0,1
49,42,49,2,1.0,1
51,42,76,11,0.0,1
51,46,51,2,0.0,1
51,48,44,3,0.0,1
51,73,51,3,0.0,1
51,77,61,11,1.0,1
62,77,67,7,1.0,1
76,77,66,8,0.0,1
76,82,40,2,1.0,1
96,82,70,9,1.0,1
0,0,73,6,0.0,1
0,6,50,4,1.0,1
7,6,41,2,0.0,1
7,16,82,9,1.0,1
34,16,65,6,1.0,1
41,16,64,2,1.0,1
78,16,37,2,0.0,1
78,20,65,10,0.0,1
78,46,63,7,0.0,1
78,58,80,9,1.0,1
86,58,33,6,1.0,1
90,58,73,10,0.0,1
90,63,52,5,0.0,1
90,75,42,3,1.0,1
0,0,64,8,1.0,1
26,0,62,4,1.0,1
37,0,53,2,0.0,1
37,27,62,10,1.0,1
42,27,38,6,1.0,1
58,27,61,7,1.0,1
81,27,53,10,0.0,1
81,36,40,5,1.0,1
0,0,57,11,0.0,0
0,37,44,2,1.0,0
15,37,67,7,1.0,0
34,37,66,6,0.0,0
34,84,46,3,0.0,0
0,0,36,9,1.0,1
25,0,71,10,0.0,1
25,1,45,3,1.0,1
70,1,42,2,1.0,1
72,1,72,6,1.0,1
92,1,43,2,1.0,1
0,0,73,7,0.0,1
0,35,65,6,0.0,1
0,46,59,11,1.0,1
20,46,56,6,1.0,1
48,46,47,0,0.0,1
48,55,75,7,0.0,1
48,63,72,5,1.0,1
54,63,54,4,0.0,1
54,73,44,1,0.0,1
54,94,50,1,1.0,1
58,94,49,1,1.0,1
0,0,81,8,0.0,0
0,1,67,7,1.0,0
27,1,64,8,0.0,0
27,3,31,6,1.0,0
65,3,60,10,0.0,0
65,51,36,3,0.0,0
65,55,66,5,1.0,0
74,55,45,5,0.0,0
74,65,57,5,1.0,0
87,65,75,5,0.0,0
0,0,39,4,1.0,1
5,0,53,6,1.0,1
30,0,69,6,0.0,1
30,4,48,4,1.0,1
46,4,66,7,0.0,1
46,15,57,7,0.0,1
46,36,62,6,0.0,1
46,40,55,5,1.0,1
85,40,37,2,1.0,1
0,0,77,10,1.0,1
13,0,73,3,0.0,1
13,8,60,8,1.0,1
17,8,58,3,0.0,1
17,19,52,6,1.0,1
28,19,44,5,0.0,1
28,30,70,8,1.0,1
43,30,74,4,1.0,1
54,30,55,10,0.0,1
54,38,43,4,1.0,1
84,38,48,4,1.0,1
99,38,72,9,0.0,1
99,47,13,2,1.0,1
0,0,62,3,0.0,0
0,28,71,8,0.0,0
0,37,46,4,0.0,0
0,58,54,5,0.0,0
0,71,75,10,0.0,0
0,96,54,10,1.0,0
11,96,65,7,1.0,0
18,96,69,9,0.0,0
0,0,56,7,1.0,1
28,0,39,1,0.0,1
28,13,66,8,0.0,1
28,39,62,12,1.0,1
99,39,62,7,0.0,1
99,43,78,8,1.0,1
0,0,75,6,0.0,0
0,66,43,3,0.0,0
0,91,70,7,0.0,0
0,98,58,6,1.0,0
31,98,64,7,1.0,0
54,98,48,4,1.0,0
72,98,53,6,0.0,0
0,0,61,5,0.0,1
0,6,65,5,1.0,1
3,6,59,9,0.0,1
3,32,75,4,1.0,1
11,32,58,5,0.0,1
11,35,43,3,1.0,1
37,35,32,3,1.0,1
45,35,64,10,0.0,1
45,75,77,6,1.0,1
69,75,66,7,1.0,1
0,0,60,10,0.0,1
0,25,56,6,1.0,1
48,25,77,9,1.0,1
74,25,55,4,1.0,1
84,25,52,2,1.0,1
0,0,55,6,1.0,0
7,0,53,5,0.0,0
7,4,37,4,1.0,0
16,4,60,5,0.0,0
16,26,71,7,1.0,0
22,26,77,9,0.0,0
22,46,46,6,1.0,0
43,46,64,6,0.0,0
43,53,45,3,0.0,0
43,62,63,2,0.0,0
43,87,71,7,1.0,0
57,87,62,3,0.0,0
0,0,44,2,0.0,1
0,14,48,7,0.0,1
0,16,61,8,0.0,1
0,36,52,7,1.0,1
17,36,62,10,0.0,1
17,46,46,4,0.0,1
17,48,64,10,0.0,1
17,54,75,7,1.0,1
32,54,25,3,1.0,1
63,54,69,7,1.0,1
0,0,50,4,0.0,0
0,4,55,3,0.0,0
0,31,59,5,0.0,0
0,45,61,2,1.0,0
4,45,73,9,0.0,0
4,63,69,6,0.0,0
4,88,58,1,0.0,0
0,0,74,10,0.0,1
0,9,61,7,1.0,1
18,9,37,4,1.0,1
28,9,49,4,0.0,1
28,22,33,0,1.0,1
37,22,58,7,1.0,1
41,22,52,4,1.0,1
61,22,60,9,1.0,1
70,22,39,2,1.0,1
90,22,65,9,1.0,1
94,22,67,7,0.0,1
94,46,67,3,1.0,1
99,46,64,10,1.0,1
0,0,62,10,1.0,1
10,0,54,10,0.0,1
10,27,71,8,1.0,1
21,27,32,4,1.0,1
32,27,60,4,1.0,1
38,27,47,0,1.0,1
63,27,54,7,1.0,1
81,27,50,3,1.0,1
92,27,69,8,1.0,1
0,0,36,4,1.0,1
11,0,61,9,0.0,1
11,14,63,7,1.0,1
12,14,52,4,0.0,1
12,19,65,10,1.0,1
27,19,22,0,0.0,1
27,25,63,7,0.0,1
